date,rank,previous_rank,peak_rank,peak_date,weeks_on_chart,consecutive_weeks,entry_rank,entry_date,status,track,artists,label,release_date,track_id
2026-07-23,1,1,1,2026-04-09,36,30,97,2025-10-30,NO_CHANGE,Choosin' Texas,Ella Langley,SAWGOD/Columbia,2026-04-10,7scFxt9VhL4FJwuPSfRlfN
2026-07-23,2,2,1,2026-05-21,10,10,1,2026-05-21,NO_CHANGE,Janice STFU,Drake,OVO/Republic,2026-05-15,514joG57v4yKTsfQmz7stz
2026-07-23,3,3,3,2026-06-04,8,8,3,2026-06-04,NO_CHANGE,hate that i made you love me,Ariana Grande,Republic Records,2026-05-29,20jbSiX29FDX4oQxBXyUEi
2026-07-23,4,4,1,2026-01-08,48,48,30,2025-08-28,NO_CHANGE,Man I Need,Olivia Dean,PLG - Capitol,2025-08-15,1qbmS6ep2hbBRaEZFpn7BX
2026-07-23,5,6,5,2026-07-23,16,16,33,2026-04-09,MOVED_UP,Earrings,Malcolm Todd,Columbia,2024-04-05,0eAuGrXyGFYwur9ARUe7LJ
2026-07-23,6,24,6,2026-07-23,6,6,48,2026-06-18,MOVED_UP,Dai Dai,"Shakira, Burna Boy",Sony Music Latin,2026-05-14,0kosUz0jePvjiz4ctmR6wL
2026-07-23,7,7,6,2025-07-31,237,82,56,2021-10-21,NO_CHANGE,Dreams - 2004 Remaster,Fleetwood Mac,Rhino/Warner Records,1977-02-04,53qkszfgztIvkFyF31GfdQ
2026-07-23,8,5,1,2026-06-18,6,6,1,2026-06-18,MOVED_DOWN,stupid song,Olivia Rodrigo,Olivia Rodrigo PS,2026-06-11,49j6SvuvWfbEKZKzsHCdLJ
2026-07-23,9,10,4,2026-04-09,47,24,95,2024-03-07,MOVED_UP,Babydoll,Dominic Fike,Columbia,2018-10-16,7yNf9YjeO5JXUE3JEBgnYc
2026-07-23,10,9,1,2025-07-17,54,54,1,2025-07-17,MOVED_DOWN,DAISIES,Justin Bieber,"JRC Entertainment, LLC / ILH Production Co. LLC / Def Jam Recordings",2025-07-11,5BZsQlgw21vDOAjoqkNgKb
2026-07-23,11,12,11,2026-07-23,13,13,93,2026-04-30,MOVED_UP,Boston,STELLA LEFTY,Atlantic Outpost,2026-03-27,36idurZmYRjJ56KQ8JD9bN
2026-07-23,12,11,11,2026-07-16,47,30,98,2025-06-19,MOVED_DOWN,weren't for the wind,Ella Langley,SAWGOD/Columbia,2024-11-01,2A22iI0x4EYAVXNpKPhNEM
2026-07-23,13,13,13,2026-07-16,187,30,85,2021-10-28,NO_CHANGE,Mr. Brightside,The Killers,Island Records,,003vvx7Niy0yvhvHt4a68B
2026-07-23,14,8,3,2026-04-23,14,14,3,2026-04-23,MOVED_DOWN,drop dead,Olivia Rodrigo,Olivia Rodrigo PS,2026-06-11,3fRCAPMMZ8l8P9YKI6OCzD
2026-07-23,15,20,15,2026-07-23,107,80,94,2022-05-26,MOVED_UP,Iris,The Goo Goo Dolls,Warner Records,,6Qyc6fS4DsZjB2mRW9DsQs
2026-07-23,16,18,1,2025-05-01,76,76,62,2025-02-13,MOVED_UP,Ordinary,Alex Warren,Atlantic Records,2024-09-26,2RkZ5LkEzeHGRsmDqKwmaJ
2026-07-23,17,15,1,2026-04-23,15,15,5,2026-04-16,MOVED_DOWN,Beauty And A Beat,"Justin Bieber, Nicki Minaj",RBMG/Def Jam,2012-01-01,6QFCMUUq1T2Vf5sFUXcuQ7
2026-07-23,18,16,3,2026-02-26,43,43,38,2025-10-02,MOVED_DOWN,So Easy (To Fall In Love),Olivia Dean,PLG - Capitol,2025-09-26,6sGIMrtIzQjdzNndVxe397
2026-07-23,19,19,12,2026-05-14,23,23,51,2026-02-19,NO_CHANGE,Be Her,Ella Langley,SAWGOD/Columbia,2026-04-10,13HD3tYTiz8oSRxWzXEq7g
2026-07-23,20,14,4,2026-06-04,9,9,7,2026-05-28,MOVED_DOWN,the cure,Olivia Rodrigo,Olivia Rodrigo PS,2026-06-12,55pBIZO1cqoldeqpp5WR7H
2026-07-23,21,21,2,2025-09-18,58,58,54,2025-06-19,NO_CHANGE,No Broke Boys,"Disco Lines, Tinashe",Nice Life/Atlantic,2025-06-06,3cZajhyr8LmtPfHZ9296tj
2026-07-23,22,25,22,2026-07-23,129,30,96,2022-06-02,MOVED_UP,Riptide,Vance Joy,Atlantic Records,2014-08-05,2uXlHCUbq9OMUwx3hrk06o
2026-07-23,23,17,14,2026-07-09,12,12,66,2026-05-07,MOVED_DOWN,Self Aware,Temper City,Temper City under exclusive license to Thirty Knots,2026-02-15,4qW3BbQAwZsrnu8a3ZRdyT
2026-07-23,24,30,1,2026-01-15,85,34,32,2024-02-22,MOVED_UP,End of Beginning,Djo,Djo,2022-09-16,3qhlB30KknSejmIvZZLjOD
2026-07-23,25,28,13,2026-04-23,24,24,30,2026-02-12,MOVED_UP,Homewrecker,sombr,Warner Records,2026-02-05,7tICCrK3CcyRFKza7yrR0z
2026-07-23,26,27,14,2026-06-11,14,13,83,2025-11-06,MOVED_UP,Billie Jean,Michael Jackson,Epic,1982-11-30,7J1uxwnxfQLu4APicE5Rnj
2026-07-23,27,22,1,2025-10-09,42,42,1,2025-10-09,MOVED_DOWN,The Fate of Ophelia,Taylor Swift,Taylor Swift,2025-10-03,53iuhJlwXhSER5J2IYYv1W
2026-07-23,28,32,1,2024-07-11,117,30,31,2024-04-25,MOVED_UP,A Bar Song (Tipsy),Shaboozey,American Dogwood / EMPIRE,2024-05-31,5fZJQrFKWQLb7FpJXZ1g7K
2026-07-23,29,29,3,2025-07-10,69,69,61,2025-04-03,NO_CHANGE,back to friends,sombr,Warner Records,2025-08-22,7qjZnBKE73H4Oxkopwulqe
2026-07-23,30,23,23,2026-07-16,3,3,79,2026-07-09,MOVED_DOWN,Wonderwall - Remastered,Oasis,Big Brother Recordings Ltd,,5qqabIl2vWzo9ApSC317sa
2026-07-23,31,31,1,2024-02-08,131,131,11,2024-01-25,NO_CHANGE,Beautiful Things,Benson Boone,"Night Street Records, Inc./Warner Records Inc.",2024-04-05,3xkHsmpQCBMytMJNiDf3Ii
2026-07-23,32,26,4,2026-06-11,7,7,4,2026-06-11,MOVED_DOWN,"I Knew It, I Knew You - From ""Toy Story 5""",Taylor Swift,Walt Disney Records / Pixar,2026-06-05,5uPaqMMt59KGrdKIitDRqa
2026-07-23,33,36,8,2026-04-16,21,21,75,2026-03-05,MOVED_UP,Dracula - JENNIE Remix,"Tame Impala, JENNIE",Columbia,2026-02-06,5yvVYFDUpbnjcnRBgjwTzM
2026-07-23,34,42,6,2025-06-19,69,30,79,2025-03-27,MOVED_UP,Love Me Not,Ravyn Lenae,Atlantic Records,2024-08-09,4WFgvKVfEhb3IUAFGrutTR
2026-07-23,35,33,1,2026-03-05,28,28,86,2026-01-15,MOVED_DOWN,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson",Warner Records,2025-10-10,1DwscornXpj8fmOmYVlqZt
2026-07-23,36,39,1,2024-05-16,114,30,1,2024-05-16,MOVED_UP,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",Mercury Records / Republic Records,2024-08-15,5IZXB5IKAD2qlvTPJYDCFB
2026-07-23,37,35,35,2026-07-16,18,18,56,2026-03-26,MOVED_DOWN,Rein Me In (with Olivia Dean),"Sam Fender, Olivia Dean",Polydor Records,2025-12-05,0MUXBhPUDF8or0kfQ0EHwV
2026-07-23,38,37,11,2026-01-22,30,30,46,2026-01-01,MOVED_DOWN,Lush Life,Zara Larsson,Epic/Record Company TEN,2017-03-17,1rIKgCH4H52lrvDcz50hS8
2026-07-23,39,41,31,2026-04-09,133,29,86,2021-10-28,MOVED_UP,The Spins,"Mac Miller, Empire Of The Sun",Rostrum Records,2010-08-13,3iEUDvanZwQhLCIqUmCR7N
2026-07-23,40,71,40,2026-07-23,4,4,70,2026-07-02,MOVED_UP,Look at My Life,Gracie Abrams,"Gracie Abrams, under exclusive license to Interscope Records",2026-07-17,4Yf6QS1hjFWT1qMqvpzNcK
2026-07-23,41,38,30,2026-07-02,8,8,71,2026-06-04,MOVED_DOWN,Cinderella (feat. Ty Dolla $ign),"Mac Miller, Ty Dolla $ign",Warner Records,2016-09-16,2lpygKqzPFtItQ4ss3cgfb
