Variable Values,,,,
Value,,Label,,
survey,1202501,"Spring, 2025",,
country,2,Canada,,
,3,France,,
,4,Germany,,
,5,Greece,,
,6,Hungary,,
,7,Italy,,
,8,Netherlands,,
,9,Poland,,
,10,Spain,,
,11,Sweden,,
,12,UK,,
,13,Australia,,
,14,India,,
,15,Indonesia,,
,16,Japan,,
,17,South Korea,,
,18,Israel,,
,19,Turkey,,
,20,Kenya,,
,21,Nigeria,,
,22,South Africa,,
,23,Argentina,,
,24,Brazil,,
,25,Mexico,,
econ_sit,1,Very good,,
,2,Somewhat good,,
,3,Somewhat bad,,
,4,Very bad,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
satisfied_democracy,1,Very satisfied,,
,2,Somewhat satisfied,,
,3,Not too satisfied,,
,4,Not at all satisfied,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
polsys_satisfied,1,Very satisfied,,
,2,Somewhat satisfied,,
,3,Not too satisfied,,
,4,Not at all satisfied,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
fav_us,1,Very favorable,,
,2,Somewhat favorable,,
,3,Somewhat unfavorable,,
,4,Very unfavorable,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
fav_china,1,Very favorable,,
,2,Somewhat favorable,,
,3,Somewhat unfavorable,,
,4,Very unfavorable,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
fav_eu,1,Very favorable,,
,2,Somewhat favorable,,
,3,Somewhat unfavorable,,
,4,Very unfavorable,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
fav_un,1,Very favorable,,
,2,Somewhat favorable,,
,3,Somewhat unfavorable,,
,4,Very unfavorable,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
fav_nato,1,Very favorable,,
,2,Somewhat favorable,,
,3,Somewhat unfavorable,,
,4,Very unfavorable,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
fav_russia,1,Very favorable,,
,2,Somewhat favorable,,
,3,Somewhat unfavorable,,
,4,Very unfavorable,,
,8,Don't know (DO NOT READ),,
